epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5605,0.83301,1.48973,0.99456,0.76831,0.51674,0.53011,0.44683,0.60151,0.7994,0.89922,0.000127273,0.000127273,0.000127273
2,64.2292,0.60243,0.70715,0.90003,0.64274,0.58315,0.5975,0.51972,0.54044,0.61844,0.85995,0.000247171,0.000247171,0.000247171
3,95.6467,0.57319,0.6363,0.88591,0.68948,0.56105,0.60274,0.51547,0.53526,0.60251,0.85902,0.000358599,0.000358599,0.000358599
4,127.221,0.55888,0.59946,0.87744,0.71143,0.60179,0.63604,0.56259,0.48947,0.54087,0.85994,0.000346885,0.000346885,0.000346885
5,158.503,0.54315,0.57079,0.87547,0.7379,0.62795,0.65152,0.58408,0.48534,0.52894,0.84809,0.00033418,0.00033418,0.00033418
6,190.201,0.52019,0.55042,0.86882,0.77057,0.64009,0.68027,0.60675,0.46396,0.48273,0.82966,0.000321475,0.000321475,0.000321475
7,222.141,0.50672,0.51851,0.86184,0.81412,0.64291,0.66613,0.60669,0.45806,0.48723,0.822,0.00030877,0.00030877,0.00030877
8,253.91,0.49686,0.50406,0.85907,0.8557,0.62459,0.69858,0.64073,0.43414,0.44431,0.82196,0.000296065,0.000296065,0.000296065
9,285.932,0.48246,0.46922,0.8538,0.78523,0.65277,0.69693,0.62732,0.44872,0.4643,0.8245,0.00028336,0.00028336,0.00028336
10,317.72,0.471,0.45882,0.84816,0.77101,0.67965,0.70615,0.64358,0.43184,0.43128,0.81299,0.000270655,0.000270655,0.000270655
11,349.511,0.46511,0.44543,0.84532,0.78684,0.66617,0.70886,0.65569,0.39555,0.41106,0.81055,0.00025795,0.00025795,0.00025795
12,380.929,0.44925,0.425,0.84205,0.77664,0.67245,0.69646,0.64229,0.40981,0.40967,0.81247,0.000245245,0.000245245,0.000245245
13,412.306,0.44506,0.41949,0.8406,0.79598,0.65027,0.70759,0.65368,0.40173,0.40277,0.81057,0.00023254,0.00023254,0.00023254
14,443.661,0.43899,0.40607,0.83994,0.81888,0.66149,0.73173,0.67837,0.38303,0.38335,0.80569,0.000219835,0.000219835,0.000219835
15,474.831,0.43221,0.40612,0.83766,0.78218,0.66708,0.7228,0.66504,0.39345,0.40724,0.80564,0.00020713,0.00020713,0.00020713
16,506.017,0.43067,0.40516,0.83663,0.76324,0.73004,0.72987,0.67316,0.38986,0.39365,0.80894,0.000194425,0.000194425,0.000194425
17,537.017,0.42621,0.39238,0.83538,0.79145,0.6725,0.71955,0.66941,0.38908,0.37628,0.80602,0.00018172,0.00018172,0.00018172
18,568.507,0.42411,0.38431,0.83584,0.71303,0.71657,0.71965,0.67082,0.37853,0.37709,0.80502,0.000169015,0.000169015,0.000169015
19,600.187,0.41283,0.37099,0.83023,0.74067,0.6803,0.7254,0.67374,0.36687,0.36504,0.80254,0.00015631,0.00015631,0.00015631
20,631.571,0.40579,0.35951,0.82977,0.82087,0.66878,0.72399,0.67817,0.36575,0.3654,0.80103,0.000143605,0.000143605,0.000143605
21,663.065,0.40341,0.35636,0.80868,0.80076,0.67706,0.72763,0.68128,0.38352,0.37025,0.80239,0.0001309,0.0001309,0.0001309
22,694.558,0.39536,0.34195,0.80695,0.83992,0.68556,0.73469,0.69097,0.36791,0.36766,0.80035,0.000118195,0.000118195,0.000118195
23,725.98,0.39006,0.33588,0.80643,0.8223,0.71138,0.74583,0.70287,0.37112,0.36151,0.80029,0.00010549,0.00010549,0.00010549
24,757.337,0.37866,0.3163,0.80135,0.73337,0.73727,0.73702,0.69199,0.36624,0.36427,0.7984,9.2785e-05,9.2785e-05,9.2785e-05
25,788.701,0.37276,0.30379,0.79994,0.7119,0.74822,0.7375,0.69707,0.36238,0.34402,0.79794,8.008e-05,8.008e-05,8.008e-05
26,819.824,0.3667,0.29596,0.8002,0.84124,0.74523,0.75305,0.70914,0.35062,0.34405,0.79543,6.7375e-05,6.7375e-05,6.7375e-05
27,851.406,0.35713,0.28458,0.79742,0.92686,0.71224,0.75394,0.70836,0.34833,0.35092,0.79715,5.467e-05,5.467e-05,5.467e-05
28,882.259,0.3538,0.27774,0.79808,0.91376,0.73485,0.77334,0.72866,0.34349,0.3429,0.79456,4.1965e-05,4.1965e-05,4.1965e-05
29,913.006,0.34608,0.26752,0.79321,0.89664,0.73563,0.75439,0.71411,0.34357,0.33808,0.79332,2.926e-05,2.926e-05,2.926e-05
30,943.867,0.34225,0.25863,0.79637,0.88558,0.73012,0.75702,0.7156,0.33949,0.33919,0.79308,1.6555e-05,1.6555e-05,1.6555e-05
